""2018-05-09 15:29:18 [main] INFO  org.springframework.security.web.DefaultSecurityFilterChain - Creating filter chain: org.springframework.security.web.util.matcher.AnyRequestMatcher@1, [org.springframework.security.web.context.request.async.WebAsyncManagerIntegrationFilter@3aa4f6d0, org.springframework.security.web.context.SecurityContextPersistenceFilter@7fed9549, org.springframework.security.web.header.HeaderWriterFilter@5932244, org.springframework.security.web.authentication.logout.LogoutFilter@6d1e949a, org.springframework.security.web.authentication.UsernamePasswordAuthenticationFilter@5d663534, org.springframework.security.web.savedrequest.RequestCacheAwareFilter@399e50c6, org.springframework.security.web.servletapi.SecurityContextHolderAwareRequestFilter@66dff2a2, org.springframework.security.web.authentication.AnonymousAuthenticationFilter@4f5fb27f, org.springframework.security.web.session.SessionManagementFilter@3e2137b8, org.springframework.security.web.access.ExceptionTranslationFilter@1920a22b, org.springframework.security.web.access.intercept.FilterSecurityInterceptor@4f71a1f3]
""2018-05-09 15:29:18 [main] INFO  org.springframework.jmx.export.annotation.AnnotationMBeanExporter - Registering beans for JMX exposure on startup
""2018-05-09 15:29:18 [main] INFO  org.springframework.boot.context.embedded.tomcat.TomcatEmbeddedServletContainer - Tomcat started on port(s): 8080 (http)
""2018-05-09 15:29:18 [main] INFO  handyman.WebApplication - Started WebApplication in 5.238 seconds (JVM running for 7.916)
""2018-05-09 15:29:28 [http-nio-8080-exec-2] INFO  org.apache.catalina.core.ContainerBase.[Tomcat].[localhost].[/] - Initializing Spring FrameworkServlet 'dispatcherServlet'
""2018-05-09 15:29:30 [http-nio-8080-exec-5] INFO  org.hibernate.hql.internal.QueryTranslatorFactoryInitiator - HHH000397: Using ASTQueryTranslatorFactory
""2018-05-09 15:29:30 [http-nio-8080-exec-6] INFO  handyman.OrderController - Otvorenie detailu s id 34
""2018-05-09 15:30:59 [http-nio-8080-exec-1] INFO  handyman.OrderController - Otvorenie formulára s vytvorením požiadavky
""2018-05-09 15:38:00 [http-nio-8080-exec-7] INFO  handyman.OrderController - Otvorenie formulára s vytvorením požiadavky
""2018-05-09 15:38:03 [http-nio-8080-exec-1] INFO  handyman.OrderController - Zobrazenie všetkých požiadaviek od používate¾ov
""2018-05-09 15:38:03 [http-nio-8080-exec-1] INFO  handyman.OrderController - Ukonèenie controllera pre zobrazenie požiadaviek od všetkých používate¾ov
""2018-05-09 15:38:08 [http-nio-8080-exec-2] INFO  handyman.OrderController - OnHover bol spusteny nad id 34
""2018-05-09 15:38:08 [http-nio-8080-exec-2] INFO  handyman.OrderController - OnHover prebehol úspešne
""2018-05-09 15:38:38 [http-nio-8080-exec-4] INFO  handyman.OrderController - Otvorenie formulára s vytvorením požiadavky
""2018-05-09 15:38:50 [http-nio-8080-exec-8] INFO  handyman.OrderController - Používate¾ s id 11ukladá požiadavku do databázy
""2018-05-09 15:38:50 [http-nio-8080-exec-8] INFO  handyman.OrderController - Presmerovanie na obrazovku so všetkými požiadavkami
""2018-05-09 15:38:50 [http-nio-8080-exec-9] INFO  handyman.OrderController - Zobrazenie všetkých požiadaviek od používate¾ov
""2018-05-09 15:38:50 [http-nio-8080-exec-9] INFO  handyman.OrderController - Ukonèenie controllera pre zobrazenie požiadaviek od všetkých používate¾ov
""2018-05-09 15:38:57 [http-nio-8080-exec-1] INFO  handyman.OrderController - OnHover bol spusteny nad id 35
""2018-05-09 15:38:57 [http-nio-8080-exec-1] INFO  handyman.OrderController - OnHover prebehol úspešne
""2018-05-09 15:38:58 [http-nio-8080-exec-3] INFO  handyman.OrderController - OnHover bol spusteny nad id 35
""2018-05-09 15:38:58 [http-nio-8080-exec-3] INFO  handyman.OrderController - OnHover prebehol úspešne
""2018-05-09 15:38:59 [http-nio-8080-exec-2] INFO  handyman.OrderController - Otvorenie detailu s id 35
""2018-05-09 15:38:59 [http-nio-8080-exec-2] ERROR org.apache.catalina.core.ContainerBase.[Tomcat].[localhost].[/].[jsp] - Servlet.service() for servlet [jsp] threw exception
